#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
232,"Lady - Hear Me Tonight","Modjo",126,2B,81,2023-07-14,05:07,84,"french house, disco house","Modjo (Remastered)",2001-00-00,72,1,3,87,0,0,-6,F#/G♭ Major,4,49X0LAl6faAusYq02PRAY6,FR9W10100535
233,"Human","The Killers",135,6B,80,2023-07-14,04:05,77,"alternative rock","Day & Age (Bonus Tracks)",2008-11-18,56,0,0,58,0,0,-8,A#/B♭ Major,4,1sTsuZTdANkiFd7T34H3nb,USUM70837367
234,"Issues","Julia Michaels",114,4B,42,2023-07-14,02:56,74,"","Nervous System",2017-07-28,73,40,0,46,0,0,-7,G#/A♭ Major,4,7vu0JkJh0ldukEYbTVcqd0,USUM71615691
235,"Sugar Baby Love","The Rubettes",130,8B,77,2023-07-14,03:29,53,"glam rock","The Best Of",1990-01-01,42,0,2,79,0,30,-9,C Major,4,294ii3rwz6bTJ2XMn5BDu0,GBAKW7400099
236,"Escuela de Calor","Radio Futura",122,10B,80,2023-07-14,03:30,56,"rock en español","La Ley Del Desierto",1984-04-20,70,12,2,96,0,0,-10,D Major,4,7J0niAY0FLzGiCVJUREl88,ES5028400051
237,"Wannabe","Spice Girls",110,1B,86,2023-07-14,02:53,82,"","Spice",1996-01-01,77,10,0,89,0,10,-6,B Major,4,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008
238,"I Don't Feel Like Dancin'","Scissor Sisters",108,9B,92,2023-07-14,04:48,66,"","Ta-Dah",2006-01-01,71,2,0,85,0,30,-3,G Major,4,1q9l6c8bAzqWcvO3DM6FsR,GBUM70602587
239,"María Caipirinha (with Dj Dero)","Carlinhos Brown,DJ Dero",134,9A,93,2023-07-14,04:09,48,"axé, ","Latin Fitness Dance 2012 - Workout Cardio Music - The Hits for Your Workout (Pop Kuduro, Cumbia, Latin House, Dembow, Merengue, Salsa, Bachata)",2011-11-21,85,19,0,94,10,0,-6,E Minor,4,2X1P55Lrz0g5X2OQd8n4c9,ARF530200117
240,"Faith","George Michael",96,1B,50,2023-07-14,03:14,0,"","Ladies And Gentlemen... The Best Of George Michael",1998-11-09,92,1,0,55,10,0,-10,B Major,4,59eAcAyhYSLi5GKFrgHJzG,GBBBM8702010
241,"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Eiffel 65,Gabry Ponte",128,6A,97,2023-07-14,04:43,7,"italo dance, eurodance, europop, slap house","Europop",1999-00-00,82,26,0,77,0,30,-11,G Minor,4,2yAVzRiEQooPEJ9SYx11L3,ITT019810102
