#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Starman - 2012 Remaster","David Bowie",100,7B,45,2023-07-14,04:14,82,"glam rock, art rock","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)",1972-06-06,49,17,0,55,0,50,-10,F Major,4,0pQskrTITgmCMyr85tb9qq,USJT11200004
2,"Mi Gato","Rosario",105,8B,87,2023-07-14,03:22,33,"flamenco, flamenco pop","Esencial Rosario",2013-07-23,69,49,0,63,0,0,-4,C Major,4,5Hu3Y13dE9rEZire0tlAMW,ES5119201609
3,"In Da Club","50 Cent",90,11A,71,2023-07-14,03:13,84,"old school hip hop, east coast hip hop","Get Rich Or Die Tryin'",2003-02-06,90,26,0,78,30,0,-3,F#/G♭ Minor,4,7iL6o9tox1zgHpKUfh9vuC,USIR10300033
4,"Solo Si Es Contigo","Bombai,Bebe",175,9B,59,2023-07-14,03:36,33,"","Solo Si Es Contigo",2017-03-03,57,33,0,96,0,10,-6,G Major,4,0Ttqiz6DNvPkThvbnr9vYJ,ES84S1700070
5,"Call Me","Blondie",143,7A,82,2023-07-14,03:32,71,"","Atomic/Atomix",1999-01-01,56,0,0,74,0,0,-7,D Minor,4,4qO03RMQm88DdpTJcxlglY,USCH38900008
6,"Take on Me","a-ha",84,11A,90,2023-07-14,03:45,89,"new wave, synthpop","Hunting High and Low",1985-06-01,57,2,0,88,0,0,-8,F#/G♭ Minor,4,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
7,"All Star","Smash Mouth",104,1B,87,2023-07-14,03:20,80,"","Astro Lounge",1999-06-08,73,4,0,78,0,0,-6,B Major,4,3cfOd4CMv2snFaKAnMdnvK,USIR19902220
8,"Hello","Martin Solveig,Dragonette",128,5B,93,2023-07-14,04:41,0,"french house, ","Smash",2011-01-01,67,3,1,46,0,0,-4,D#/E♭ Major,4,44Pv0rinObvVa4nQ4TXLga,FR2PA1000020
9,"Story of My Life","One Direction",121,5B,66,2023-07-14,04:05,85,"","Midnight Memories (Deluxe)",2013-11-25,60,23,0,29,0,10,-6,D#/E♭ Major,4,4nVBt6MZDDP6tRVdQTgxJg,GBHMU1300210
10,"Hotel California - 2013 Remaster","Eagles",147,10B,51,2023-07-14,06:31,86,"classic rock, yacht rock, soft rock","Hotel California (2013 Remaster)",1976-12-08,58,1,0,61,0,0,-9,D Major,4,40riOy7x9W7GXjyGp4pjAv,USEE11300353
11,"Me Voy","Julieta Venegas",108,10B,68,2023-07-14,03:07,78,"latin pop, latin rock","Limon Y Sal",2006-05-25,57,7,0,60,0,10,-4,D Major,3,100Tm6z29RfHTdUQ6NIs0s,MXF010600165
12,"Don't Call Me Up","Mabel",99,11B,88,2023-07-14,02:58,72,"","Ivy To Roses (Mixtape)",2019-01-18,67,30,0,23,10,0,-3,A Major,4,5WHTFyqSii0lmT9R21abT8,GBUM71808052
13,"Moving on Up","M People",125,5A,86,2023-07-14,03:35,60,"","The Best Of M People",1998-10-29,90,5,3,96,0,10,-6,C Minor,4,6vGW3d8X48CBaLdU0PQbey,GBARL9300289
14,"As It Was","Harry Styles",174,11A,73,2023-07-14,02:47,90,"","Harry's House",2022-05-20,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4Dvkj6JhhA12EX05fT7y2e,USSM12200612
15,"Don't Get Me Wrong","Pretenders",204,8B,81,2023-07-14,03:46,42,"","The Singles",1987-10-26,47,24,0,86,0,10,-11,C Major,4,4I3nztDQ3cPajQtzg59tWx,GBAHT8603594
16,"Pan y mantequilla","Efecto Pasillo",100,6B,83,2023-07-14,03:22,61,"","El misterioso caso de Efecto Pasillo",2013-12-20,70,24,0,91,0,0,-5,A#/B♭ Major,4,2kZJ5wrpq1gCdHmVEjahoH,ES24C1207101
17,"Soldadito marinero","Fito y Fitipaldis",140,10B,43,2023-07-14,04:14,69,"","Lo mas lejos a tu lado",2004-12-28,72,13,0,32,0,0,-9,D Major,4,0eVborSuxUeSg0meWYd9dZ,ES5010300350
18,"Step by Step","New Kids On The Block",125,8B,63,2023-07-14,04:27,62,"","Step By Step",1990-06-04,79,3,0,88,0,10,-12,C Major,4,6J6RWKCPN5RFKHUKEUFjxS,USSM19917887
19,"The Final Countdown","Europe",118,11A,84,2023-07-14,05:10,79,"glam metal","The Final Countdown (Expanded Edition)",1986-00-00,53,6,0,19,0,0,-7,F#/G♭ Minor,4,3MrRksHupTVEQ7YbA0FsZK,USSM18600196
20,"Europe's Living A Celebration - Versión Gala Eurovisión","Rosa López",135,11A,98,2023-07-14,02:52,29,"villancicos","Las 100 Mejores Canciones De La Historia De O.T (Operación Triunfo)",2006-06-15,74,13,0,70,0,50,-3,F#/G♭ Minor,4,7GrAOZRMBhUPN5PdbJZVO9,ES5701701082
21,"Girl on Fire","Alicia Keys",93,11B,71,2023-07-14,03:44,78,"r&b, neo soul","Girl on Fire (Remixes) - EP",2012-11-18,48,14,0,14,0,10,-6,A Major,4,4esOae7i4rqTbAu9o5Pxco,USRC11201015
22,"DESPECHÁ","ROSALÍA",130,9B,62,2023-07-14,02:37,73,"latin","DESPECHÁ",2022-07-28,92,18,0,78,10,0,-7,G Major,4,5ildQOEKmJuWGl2vRkFdYc,USSM12207207
23,"Last Nite","The Strokes",104,8B,91,2023-07-14,03:13,75,"garage rock, indie rock, alternative rock","Is This It",2001-07-30,62,3,0,77,0,0,-6,C Major,4,7kzKAuUzOITUauHAhoMoxA,USRC10100765
24,"Sweet Dreams (Are Made of This)","Eurythmics,Annie Lennox,Dave Stewart",126,4B,58,2023-07-14,04:52,61,"new wave, synthpop, ","Greatest Hits",1991-02-28,71,30,0,86,0,10,-12,G#/A♭ Major,4,6zIfdCmmhPCX0cMquBsC37,GBARL8300027
25,"La Tortura (feat. Alejandro Sanz)","Shakira,Alejandro Sanz",100,8B,78,2023-07-14,03:32,11,"latin pop","Fijación Oral, Vol. 1",2005-06-03,74,3,0,81,0,10,-5,C Major,4,5BSclXJTa9B0iURhUjZo50,USSM10501700
26,"Two Princes","Spin Doctors",104,9B,91,2023-07-14,04:16,73,"","Pocket Full Of Kryptonite",1991-08-27,54,0,0,84,0,0,-11,G Major,4,4ePP9So5xRzspjLFVVbj90,USSM19000350
27,"Rufino","Luz Casal",168,6B,87,2023-07-14,04:26,44,"","Luz III",1985-02-24,49,2,1,63,0,20,-7,A#/B♭ Major,4,4ICTaUYLT26W3fsMpIX5cq,ES5088503441
28,"Perfect","Fairground Attraction",139,8A,20,2023-07-14,03:36,52,"","The First Of A Million Kisses",1988-00-00,58,29,0,61,0,0,-15,A Minor,4,29KiGwvYBw6JGQWrAlLhGg,GBARL8800011
29,"Baila (Sexy Thing)","Zucchero",120,8B,77,2023-07-14,04:08,53,"italian singer-songwriter","Shake",2001-09-14,71,0,0,65,0,0,-6,C Major,4,08RVzS1yTy1TsVuRgziTOq,IT9000100001
30,"Viva La Vida","Coldplay",138,4A,62,2023-07-14,04:02,88,"","Viva La Vida or Death and All His Friends",2008-06-06,49,10,0,42,0,10,-7,F Minor,4,1mea3bSkSGXuIRvnydlB5b,GBAYE0800265
31,"Rude","MAGIC!",144,3B,76,2023-07-14,03:44,85,"","Don't Kill the Magic",2014-06-25,77,4,0,93,0,30,-5,C♯/D♭ Major,4,6RtPijgfPKROxEzTHNRiDp,CAV161300016
32,"Chasing Cars","Snow Patrol",104,11B,60,2023-07-14,04:27,84,"","Eyes Open",2006-01-01,56,20,0,14,0,10,-5,A Major,4,5hnyJvgoWiQUYZttV4wXy6,GBUM70600345
33,"All I Wanna Do","Sheryl Crow",120,11B,53,2023-07-14,04:32,71,"","Tuesday Night Music Club",1993-08-03,82,11,2,93,0,20,-11,A Major,4,3ZpQiJ78LKINrW9SQTgbXd,USAM19300013
34,"Boom, Boom, Boom, Boom!!","Vengaboys",138,10A,95,2023-07-14,03:22,78,"eurodance, europop","The Party Album!",1999-06-04,80,1,46,97,0,0,-5,B Minor,4,5N6M8yDiMV32T6Rkzh8EbW,NLC529811150
35,"A quién le importa","Alaska Y Dinarama",131,9B,85,2023-07-14,03:25,63,"rock en español","No Es Pecado -Remasters",1986-00-00,57,1,0,81,0,10,-10,G Major,4,7Eb5AYiiGWItBNddlmxvnh,ES5088602056
36,"El Gato Que Está Triste y Azul - Un Gato Nel Blu","Roberto Carlos",112,12B,37,2023-07-14,03:52,67,"mpb, brega, bolero","El Arte De Roberto Carlos",1992-00-00,44,66,0,60,0,40,-14,E Major,4,0X1XgxtHG9hULAw296CCgz,BRSME8800017
37,"Anywhere","Rita Ora",107,10A,80,2023-07-14,03:35,61,"","Anywhere",2017-10-20,63,4,0,32,0,10,-4,B Minor,4,7EI6Iki24tBHAMxtb4xQN2,GBAHS1701111
38,"La Cosa Mas Bella","Eros Ramazzotti",110,4B,75,2023-07-14,04:25,73,"","Donde Hay Música (Spanish Version)",1996-05-01,71,8,0,60,0,20,-7,G#/A♭ Major,4,1EZypwk0xcj64ZLAglhLs2,ITB009600578
39,"Our House","Madness",121,8B,72,2023-07-14,03:23,2,"ska","The Rise & Fall",1982-10-08,59,9,0,81,0,0,-6,C Major,4,1EXrFPfVNVsyb32yapebbM,GB7GZ1000033
40,"Rock the Boat","Hues Corporation",107,5B,58,2023-07-14,03:22,65,"disco","Freedom for the Stallion (Expanded Edition)",1973-00-00,60,26,0,88,0,10,-10,D#/E♭ Major,4,7fu3Tv5rcoGD1PZV7s57WW,USRC17308512
41,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",170,3B,76,2023-07-14,02:21,81,"","STAY (with Justin Bieber)",2021-07-09,59,4,0,48,0,10,-5,C♯/D♭ Major,4,5HCyWlXZPP0y6Gqq8TgA20,USSM12103949
42,"Shake It Off","Taylor Swift",160,9B,80,2023-07-14,03:39,82,"","1989 (Deluxe)",2014-01-01,65,6,0,94,10,30,-5,G Major,4,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
43,"Son de Amores","Andy & Lucas",82,7A,84,2023-07-14,03:51,61,"flamenco, flamenco pop","Andy Y Lucas",2001-01-01,68,47,0,69,10,60,-5,D Minor,4,7BCer0V0I1CZDI6S6kYD44,ES5020300148
44,"Soy Yo","Bomba Estéreo",117,10A,58,2023-07-14,02:39,62,"latin alternative, electrocumbia","Amanecer",2015-06-02,89,4,0,79,10,0,-8,B Minor,4,4Egb5xP6cniUx0kgZd5zLB,USSD11500075
45,"Achilipú","Dolores Vargas",106,2B,87,2023-07-14,02:31,3,"rumba congolaise, flamenco, soul jazz, exotica","Achilipú",2015-01-01,63,59,0,96,20,10,-7,F#/G♭ Major,4,3WJg6tafYPq7xVmLXVLI1b,ES5299100001
46,"Song 2","Blur",130,4B,71,2023-07-14,02:01,70,"britpop, madchester, alternative rock","Blur: The Best Of",2000-10-23,66,0,0,86,0,0,-7,G#/A♭ Major,4,3GfOAdcoc3X5GPiiXmpBjK,GBAYE9600015
47,"Cuando Tú Vas","Chenoa",136,10A,84,2023-07-14,03:18,50,"","Chenoa",2002-01-01,70,8,0,67,20,60,-6,B Minor,4,2bPH3Ph0RHQuugStXcpyRP,ES6010200167
48,"Self Esteem","The Offspring",105,8B,86,2023-07-14,04:17,79,"punk, skate punk","Smash",1994-04-08,49,2,0,71,0,30,-8,C Major,4,1FkoVC85Ds3mFoK0fVqEqP,USEP40312208
49,"Savage Love (Laxed - Siren Beat)","Jawsh 685,Jason Derulo",150,5A,48,2023-07-14,02:51,71,"","Savage Love (Laxed - Siren Beat)",2020-06-11,77,23,0,76,0,20,-9,C Minor,4,1xQ6trAsedVPCdbtDAmk0c,USSM12003798
50,"Vertigo","U2",140,11B,82,2023-07-14,03:13,65,"rock","How To Dismantle An Atomic Bomb",2004-01-01,42,0,0,63,0,10,-4,A Major,4,1gVVSmhWjci8l9Vrsl6HaS,GBAAN0400573
51,"Fast Car","Tracy Chapman",104,9A,29,2023-07-14,04:56,83,"","Tracy Chapman",1988-04-05,71,31,0,19,0,10,-16,E Minor,4,2M9ro2krNb7nr7HSprkEgo,USEE10180719
52,"Cuando zarpa el amor","Camela",114,12A,91,2023-07-14,03:32,60,"flamenco, flamenco pop","Diez De Corazon",2004-11-22,77,9,0,70,0,0,-4,C♯/D♭ Minor,4,0GzQB5WXavUEU8tfTCAd8m,ES5080400083
53,"Scatman (ski-ba-bop-ba-dop-bop)","Scatman John",136,4A,82,2023-07-14,03:35,73,"eurodance","Scatman's World",1995-06-01,65,7,0,76,0,20,-11,F Minor,4,623rRTKwGmgjH6sjE9uWLh,DKELA9610005
54,"Unwritten","Natasha Bedingfield",100,7B,80,2023-07-14,04:19,87,"","Unwritten",2004-08-30,71,1,0,63,0,0,-6,F Major,4,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707
55,"Háblame de Ti","Pecos",125,7B,80,2023-07-14,03:27,44,"","Un Par de Corazones y Otros Grandes Éxitos",1978-00-00,71,32,0,79,0,10,-7,F Major,4,7EWKAYWmUc1cTfEimTKvou,ES5117900040
56,"Sleeping In My Car","Roxette",135,2B,85,2023-07-14,03:46,2,"swedish pop","Crash! Boom! Bang! (Extended Version)",1994-00-00,51,1,0,56,0,10,-4,F#/G♭ Major,4,521uF3jhz9GIIlLeP9YV7J,SEAMA9301030
57,"Un-Break My Heart","Toni Braxton",110,7A,43,2023-07-14,04:30,77,"r&b","Secrets",1996-06-18,63,41,0,11,0,10,-8,D Minor,4,5Ihd9HrPvOADyVoonH9ZjB,USLF29600015
58,"Rayos de Sol","José de Rico,Henry Mendez",128,4B,87,2023-07-14,03:51,61,"reggaeton","Rayos de Sol",2011-08-08,75,7,0,88,0,10,-4,G#/A♭ Major,4,1d5obgzCOtwq9qaxfe4Hpw,ES1611100061
59,"Billie Jean","Michael Jackson",117,10A,65,2023-07-14,04:53,80,"","Thriller 25 Super Deluxe Edition",2008-02-08,92,2,2,85,0,0,-3,B Minor,4,5ChkMS8OtdzJeqyybCc9R5,USSM19902991
60,"Oye","Gloria Estefan",130,3B,89,2023-07-14,04:39,41,"","Gloria!",1998-04-20,69,0,0,76,0,30,-5,C♯/D♭ Major,4,34js2TOQm9tf6xhefJ97HI,USSM19703606
61,"Bring Me To Life","Evanescence",95,9A,94,2023-07-14,03:55,89,"alternative metal","Fallen",2003-03-04,33,1,0,30,0,20,-3,E Minor,4,0COqiPhxzoWICwFCS4eZcp,USWU30200093
62,"Free","Ultra Naté",125,4A,91,2023-07-14,05:53,2,"","Situation:Critical",1998-04-27,76,0,0,62,0,0,-7,F Minor,4,5RC9olve1FVs1bnIneatm8,GBDVG1133103
63,"I'm So Excited","The Pointer Sisters",184,4A,87,2023-07-14,03:50,75,"disco","So Excited! (Expanded Edition)",1982-02-01,59,10,0,80,0,40,-6,F Minor,4,1ot6jEe4w4hYnsOPjd3xKQ,USRC18203285
64,"American Idiot","Green Day",186,3B,99,2023-07-14,02:56,83,"punk, pop punk","American Idiot",2004-09-21,38,0,0,77,0,30,-2,C♯/D♭ Major,4,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888
65,"19 Dias y 500 Noches","Joaquín Sabina",87,12B,67,2023-07-14,04:43,53,"trova, singer-songwriter, nueva trova","19 Dias Y 500 Noches",1999-09-27,71,67,0,81,20,20,-8,E Major,4,4Kii4OhkRIezu0KjOiFq0G,ES5029900169
66,"Freed From Desire","Gala,Molella,Phil Jay",129,7A,86,2023-07-14,03:33,80,"eurodance, italo dance","Come Into My Life (The Album)",1997-11-17,70,59,6,64,0,10,-4,D Minor,4,3u5N55tHf7hXATSQrjBh2q,ITA179700143
67,"Las Chicas Son Guerreras","COZ",156,11B,93,2023-07-14,04:01,34,"","Locos Por La Tele",2013-04-23,58,1,0,73,10,10,-4,A Major,4,3A58rEqzY7fwWSOnlB2AxB,ES5110002843
68,"Suéltate el pelo","Hombres G",170,12B,94,2023-07-14,03:11,59,"rock en español, latin rock, mexican rock","Agitar Antes De Usar",1988-00-00,49,66,0,92,0,30,-5,E Major,4,6ASzF6lnAamXQvWLPa3WDi,ES5018872005
69,"Don't You Want Me","The Human League",118,8A,74,2023-07-14,03:56,80,"new wave, synthpop","Dare!",1981-00-00,73,18,0,96,0,20,-8,A Minor,4,3L7RtEcu1Hw3OXrpnthngx,GBAAA0200924
70,"I Was Made For Lovin' You","KISS",128,12B,85,2023-07-14,04:31,86,"glam rock, glam metal, hard rock, rock, classic rock","Dynasty",1979-03-23,77,21,0,87,0,0,-6,E Major,4,07q0QVgO56EorrSGHC48y3,USPR39330175
71,"Groove Is in the Heart","Deee-Lite",122,12A,88,2023-07-14,03:51,71,"","World Clique",1990-08-07,69,2,2,92,0,0,-4,C♯/D♭ Minor,4,2He3NOyqtLNE3RQPpeDdSb,USEE19687204
72,"Funkytown","Lipps Inc.",122,8B,42,2023-07-14,07:50,66,"disco","Mouth To Mouth",1979-11-01,89,0,45,46,0,0,-14,C Major,4,2XVQdI3m0giGxNrwUhV3yP,USIR20300047
73,"Ma quale idea","Pino D'Angiò",115,3B,79,2023-07-14,04:22,57,"italo disco","...Balla!",2016-01-20,87,3,0,96,0,0,-4,C♯/D♭ Major,4,0nHdPB5NA4xkoDoSLbREwD,ITA647900295
74,"El Canario","No Me Pises Que Llevo Chanclas",114,1B,95,2023-07-14,03:26,34,"","Perdonen Las Disculpas",1994-07-13,63,71,0,54,10,10,-7,B Major,4,483Mpgv3ri4eUD5mJvHnaI,ES5021800453
75,"Sola (Con un desconocido)","Ole Ole",112,8B,77,2023-07-14,04:04,40,"","Los Caballeros Las Prefieren Rubias",1987-00-00,75,4,0,96,0,0,-9,C Major,4,7pqTE8rWJUZ74M3rpDbLzP,ES5088703839
76,"Mediterraneo","Los Rebeldes",147,11B,68,2023-07-14,03:53,50,"rockabilly","Mediterránaeo",1986-00-00,46,12,0,95,0,10,-11,A Major,1,6QBLmxP1tU6lw1dhKQulau,ES5118801608
77,"ABC","The Jackson 5",188,4B,87,2023-07-14,02:57,0,"motown, christmas","Temazos y Hitazos: 70's",2022-03-08,53,32,0,94,0,20,-6,G#/A♭ Major,4,4u7ZqpIkq2sDdQD22JOFLZ,USMO17082628
78,"Livin' On A Prayer","Bon Jovi",123,8B,89,2023-07-14,04:09,82,"glam metal, rock","Slippery When Wet",1986-08-16,53,8,0,79,0,20,-4,C Major,4,37ZJ0p5Jm13JPevGcx4SkF,USPR38619998
79,"Mr. Vain","Culture Beat",133,8A,100,2023-07-14,05:36,71,"eurodance","Serenity",1993-01-01,68,5,26,40,0,30,-8,A Minor,4,2rTYgHxgcndkUrRoU7x0Sv,DEPT99300133
80,"U Can't Touch This","MC Hammer",133,10A,52,2023-07-14,04:17,75,"","Please Hammer Don't Hurt 'Em",1990-02-20,87,0,0,86,0,0,-13,B Minor,4,1B75hgRqe7A4fwee3g3Wmu,USCA29000294
81,"Suave","Luis Miguel",104,9A,68,2023-07-14,04:49,70,"mariachi, bolero, latin pop, ranchera, villancicos","Aries",1993-00-00,61,6,0,44,0,20,-10,E Minor,4,4p7XH4NhQ25iGYrrbg93gt,USWI19600153
82,"Pepas","Farruko",130,9B,77,2023-07-14,04:47,79,"reggaeton, trap latino","Pepas",2021-06-24,76,1,0,44,0,10,-4,G Major,4,5fwSHlTEWpluwOM0Sxnh5k,USSD12100307
83,"Another Day in Paradise - 2016 Remaster","Phil Collins",102,2A,56,2023-07-14,05:22,83,"soft rock","...But Seriously (Deluxe Edition)",1989-11-20,78,74,0,37,0,0,-7,D#/E♭ Minor,4,1NCuYqMc8hKMb4cpNTcJbD,USRH11602150
84,"All By Myself","Eric Carmen",116,6A,37,2023-07-14,07:09,66,"yacht rock","Eric Carmen",1975-01-01,38,83,83,11,0,10,-9,G Minor,4,0AQqrtK1pULuwZUXhwaaDz,USAR10400530
85,"Moonlight Shadow","Mike Oldfield",129,12B,72,2023-07-14,03:38,69,"progressive rock, new age","The Mike Oldfield Collection",2009-01-01,61,29,0,80,0,30,-8,E Major,4,4WpmwEdc4RBos8W8icSSxW,GBAAA8300001
86,"Try","P!nk",104,10B,63,2023-07-14,04:07,83,"","The Truth About Love",2012-09-18,67,0,0,55,0,0,-7,D Major,4,1jF7IL57ayN4Ity3jQqGu0,USRC11200785
87,"Son Of My Father","Chicory Tip",130,7B,47,2023-07-14,03:07,20,"glam rock","Chicory Tip Greatest Hits",2011-07-11,62,7,1,39,0,10,-10,F Major,4,3Jwalo4hQy4AHqtnyGUoMk,NLB120600078
88,"Baby","Justin Bieber,Ludacris",65,4A,86,2023-07-14,03:34,86,"southern hip hop","My World 2.0",2010-01-01,73,4,0,54,10,10,-5,F Minor,4,6epn3r7S14KUqlReYr77hA,USUM70919263
89,"El Baile del Gorila","Melody",122,3B,98,2023-07-14,03:08,59,"flamenco pop","De Pata Negra",2001-06-11,81,15,84,82,0,0,-4,C♯/D♭ Major,4,4HjzdN3HFW2p52Eey2MumB,ES5110103506
90,"Hello","Adele",79,4A,43,2023-07-14,04:55,76,"soft pop","25",2015-11-20,58,33,0,29,0,0,-6,F Minor,4,1Yk0cQdMLx5RzzFTYwmuld,GBBKS1500214
91,"Let It Be - Remastered 2009","The Beatles",143,8B,40,2023-07-14,04:03,80,"classic rock, psychedelic rock","Let It Be (Remastered)",1970-05-08,44,63,0,41,0,10,-8,C Major,4,7iN1s7xHE4ifF5povM6A48,GBAYE0601713
92,"Se Me Enamora el Alma","Isabel Pantoja",113,2A,62,2023-07-14,05:05,39,"villancicos, flamenco","Pasion Y Deseo (Sus Grandes Exitos De La Copla Y De La Balada Romantica)",2009-10-12,78,22,0,91,0,20,-11,D#/E♭ Minor,4,6FG8TkQCTo5TfOQ6bG5Fxf,ES5028900068
93,"Get It On","T. Rex",127,10A,88,2023-07-14,04:22,70,"glam rock, proto-punk","Electric Warrior",1971-09-24,73,18,86,91,0,60,-7,B Minor,4,0LoQuiekvzqx7n8flgEKzF,GBCHM7100038
94,"Ironic","Alanis Morissette",85,1B,60,2023-07-14,03:45,59,"","Jagged Little Pill",1995-06-09,50,25,0,39,0,20,-8,B Major,4,4oGTdOClZUxcM2H3UmXlwL,USMV29400003
95,"Fantastic Shine","Love of Lesbian",102,9B,71,2023-07-14,03:02,47,"indie","Fantastic Shine",2013-06-04,56,12,0,20,0,10,-6,G Major,4,3Ti0O0JrzCJ3Hxdgg6YI1V,ES7651300037
96,"Tusa","KAROL G,Nicki Minaj",101,10B,72,2023-07-14,03:20,74,"reggaeton, latin, urbano latino, ","Tusa",2019-11-07,80,30,0,57,30,0,-3,D Major,4,7k4t7uLgtOxPwTpFmtJNTY,USUM71921183
97,"Sincericidio","Leiva",125,8B,81,2023-07-14,04:11,60,"","Monstruos",2016-08-26,57,0,0,26,0,10,-5,C Major,4,3Q8avvsQE7mtTXT2TrDx3I,ES5021600376
98,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental,Jess Glynne,Macklemore,Dan Caplen",92,8B,80,2023-07-14,03:31,70,"","Toast to Our Differences (Deluxe Edition)",2019-01-25,65,19,0,57,0,10,-4,C Major,4,20ZP3Om9DvDazXrNUC7WM2,GBAHS1701239
99,"Sucker","Jonas Brothers",138,12A,73,2023-07-14,03:01,79,"","Happiness Begins",2019-06-07,84,4,0,95,0,10,-5,C♯/D♭ Minor,4,22vgEDb5hykfaTwLuskFGD,USUG11900515
100,"FRIENDS","Marshmello,Anne-Marie",95,8A,88,2023-07-14,03:22,9,"edm, ","FRIENDS",2018-02-09,63,21,0,53,0,10,-2,A Minor,4,08bNPGLD8AhKpnnERrAc6G,GBAHS1800025
101,"Ya No Quiero Ná","Lola Indigo",129,10B,47,2023-07-14,03:12,44,"","Ya No Quiero Ná",2018-07-19,85,12,0,37,10,0,-7,D Major,4,2A2Q4CYBcVvBF2OqgJ3OWX,ES5701800653
102,"Viaje con nosotros","Orquesta Mondragon",123,12B,88,2023-07-14,03:58,40,"rock en español","Bon voyage",1980-00-00,74,17,0,98,0,0,-5,E Major,4,4YYd1oPidpG7rVu4OLjPG7,ES5088003894
103,"Part-Time Lover","Stevie Wonder",175,3A,62,2023-07-14,04:12,74,"motown, classic soul, soul","In Square Circle",1985-09-13,66,17,0,96,0,0,-14,A#/B♭ Minor,4,0Dm43YLUlGdePpSbI1ct8h,USMO18500543
104,"Satisfaction - Isak Original Extended","Benny Benassi,The Biz",130,1B,70,2023-07-14,04:45,68,"electro house, ","Hypnotica (Benny Benassi Presents The Biz)",2003-05-23,79,16,14,34,10,0,-4,B Major,4,1n7omixiROWs5q6xpWiQuL,IT00D0206401
105,"All The Things She Said","t.A.T.u.",180,4A,83,2023-07-14,03:34,87,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
106,"Murder On The Dancefloor","Sophie Ellis-Bextor",117,12A,85,2023-07-14,03:50,3,"","Read My Lips",2002-01-01,73,0,0,86,0,30,-5,C♯/D♭ Minor,4,2Za2mUwmQoSxWPscaY2vxl,GBAKW0100229
107,"Blanco y Negro","Malú",168,5B,83,2023-07-14,03:53,59,"flamenco pop, flamenco","Guerra Fria",2010-05-08,47,51,0,51,0,10,-4,D#/E♭ Major,3,2yc9sElleYDl3NXMZSgsRv,ES5021000489
108,"CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS )","Justin Timberlake",113,8B,83,2023-07-14,03:56,77,"","CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS )",2016-05-06,67,1,0,70,0,10,-6,C Major,4,6JV2JOEocMgcZxYSZelKcc,USRC11600876
109,"Mi Religión","Nil Moliner",106,7B,73,2023-07-14,03:11,58,"","Bailando en la batalla",2020-02-21,85,27,0,97,0,20,-5,F Major,4,5zNlrLpJFZt3RvRe9A0Hed,ES5151900569
110,"I'm Outta Love - Radio Edit","Anastacia",119,3A,72,2023-07-14,04:05,72,"","Pieces Of A Dream",1999-00-00,76,40,0,65,0,0,-6,A#/B♭ Minor,4,583xVl0Sbj93uU4ceixgU8,USSM19925562
111,"La Mordidita (feat. Yotuel)","Ricky Martin,Yotuel",142,8B,90,2023-07-14,03:31,71,"latin pop, latin, flamenco urbano, flamenco","A Quien Quiera Escuchar (Deluxe Edition)",2015-02-10,73,3,0,95,0,10,-3,C Major,4,00i0O74dXdaKKdCrqHnfXm,USSD11400352
112,"That's the Way (I Like It) - 2004 Remaster","KC & The Sunshine Band",109,4A,88,2023-07-14,03:05,69,"disco","KC & the Sunshine Band",1975-07-06,68,19,0,92,0,30,-10,F Minor,4,3PR79C1jVvLLLmgdyHkXl3,GBAYE0400454
113,"Don't Leave Me This Way (with Sarah Jane Morris)","The Communards,Sarah Jane Morris",132,5B,93,2023-07-14,04:31,66,"hi-nrg, synthpop, acid jazz","Communards",1986-01-01,64,14,0,90,0,10,-6,D#/E♭ Major,4,0ire4j2mcGovF5JA1D2cTp,GBANP8600001
114,"Purple Rain","Prince",113,6B,45,2023-07-14,08:40,6,"funk, funk rock","Purple Rain",1984-06-25,37,4,0,19,0,60,-10,A#/B♭ Major,4,54X78diSLoUDI3joC2bjMz,USWB10001880
115,"La vida pasa felizmente (remastered)","Luis Aguile",100,6B,53,2023-07-14,02:51,27,"villancicos","Luis Aguilé. Sus Grabaciones En Discos Showman Vol.2 (1968-1974)",2002-01-01,76,8,0,98,0,0,-11,A#/B♭ Major,4,1ckqbT2LtD2K1Mqvlmo21n,ES6340901371
116,"Scream & Shout","will.i.am,Britney Spears",130,7B,69,2023-07-14,04:43,81,"pop","#willpower",2013-01-01,77,2,0,50,0,10,-7,F Major,4,2iJuuzV8P9Yz0VSurttIV5,USUM71215597
